geocode,etiqueta,granularidad,longitud,latitud
408,La República Popular Democrática de Corea,PAISES,127.1802,40.1461
410,la República de Corea,PAISES,127.861,36.452
414,Kuwait,PAISES,47.4932,29.5381
417,Kirguistán,PAISES,74.5479,41.461
418,La República Democrática Popular Lao,PAISES,103.9016,18.7958
422,Líbano,PAISES,35.8975,33.9223
426,Lesotho,PAISES,28.2536,-29.5804
428,Letonia,PAISES,24.6154,56.8794
430,Liberia,PAISES,-9.3095,6.447
434,Libia,PAISES,18.0352,27.0238
438,Liechtenstein,PAISES,9.553,47.1416
440,Lituania,PAISES,23.9045,55.1755
442,Luxemburgo,PAISES,6.0924,49.7768
446,Macao,PAISES,113.5599,22.1567
450,Madagascar,PAISES,46.6986,-19.3976
454,Malawi,PAISES,33.4885,-13.4082
458,Malasia,PAISES,114.4608,2.9356
462,Maldivas,PAISES,73.2207,3.8486
466,Malí,PAISES,-3.5216,17.3551
470,Malta,PAISES,14.401,35.9225
478,Mauritania,PAISES,-10.3308,20.2597
480,Mauricio,PAISES,57.5721,-20.2835
484,México,PAISES,-102.5119,23.9313
492,Mónaco,PAISES,7.4288,43.7439
496,Mongolia,PAISES,103.0718,46.8403
498,La República de Moldova,PAISES,28.4649,47.2023
499,Montenegro,PAISES,19.2515,42.7876
500,Montserrat,PAISES,-62.1898,16.7395
504,Marruecos,PAISES,-6.2812,31.8417
508,Mozambique,PAISES,38.1825,-14.2797
512,Omán,PAISES,57.8774,21.9881
516,Namibia,PAISES,17.2222,-22.1378
520,Nauru,PAISES,166.9342,-0.5285
524,Nepal,PAISES,83.9454,28.2592
528,Países Bajos,PAISES,5.3302,52.169
533,Aruba,PAISES,-69.9703,12.5091
540,Nueva Caledonia,PAISES,165.5143,-21.4104
548,Vanuatu,PAISES,167.7031,-16.1959
554,Nueva Zelandia,PAISES,170.4756,-43.9872
558,Nicaragua,PAISES,-85.4241,12.6213
562,El Níger,PAISES,9.4004,17.4205
566,Nigeria,PAISES,8.1032,9.5997
570,Niue,PAISES,-169.8583,-19.0519
574,Isla Norfolk,PAISES,167.9523,-29.0326
578,Noruega,PAISES,18.0048,68.6076
580,Las Islas Marianas del Norte,PAISES,145.6042,15.7746
581,Las Islas Ultramarinas Menores de los Estados Unidos,PAISES,-162.5614,6.4785
583,Estados Federados de Micronesia,PAISES,158.2231,6.8721
584,Las Islas Marshall,PAISES,168.5277,6.7211
585,Palau,PAISES,134.5658,7.4999
586,Pakistán,PAISES,68.809,29.3997
591,Panamá,PAISES,-78.6361,9.0767
598,Papua Nueva Guinea,PAISES,145.8588,-6.7561
600,Paraguay,PAISES,-58.467,-23.4148
604,Perú,PAISES,-71.8402,-13.5849
608,Las Filipinas,PAISES,122.8671,11.7347
612,Pitcairn,PAISES,-128.3229,-24.3768
616,Polonia,PAISES,19.4064,52.1223
620,Portugal,PAISES,-7.964,39.6848
624,Guinea Bissau,PAISES,-14.4008,12.1176
626,Timor-Leste,PAISES,125.9449,-8.7975
630,Puerto Rico,PAISES,-66.4794,18.2247
634,Qatar,PAISES,51.1981,25.2804
642,Rumania,PAISES,24.9844,45.8392
643,La Federación de Rusia,PAISES,99.1245,61.6644
646,Rwanda,PAISES,29.9232,-1.9998
652,San Bartolomé,PAISES,-62.8283,17.8963
654,"Santa Elena, Ascensión y Tristán de Acuña",PAISES,-10.4275,-25.4529
659,San Cristóbal y Nieves,PAISES,-62.7657,17.3398
660,Anguila,PAISES,-63.0546,18.2148
662,Santa Lucía,PAISES,-60.9673,13.8985
666,San Pedro y Miquelón,PAISES,-56.1906,46.7827
670,San Vicente y las Granadinas,PAISES,-61.1891,13.2515
674,San Marino,PAISES,12.4633,43.9383
678,Santo Tomé y Príncipe,PAISES,6.6021,0.2395
682,Arabia Saudita,PAISES,44.5469,24.1259
686,Senegal,PAISES,-14.4498,14.3595
688,Serbia,PAISES,20.7942,44.2304
690,Seychelles,PAISES,51.8358,-6.6938
694,Sierra leona,PAISES,-11.7801,8.5683
702,Singapur,PAISES,103.8108,1.361
703,Eslovaquia,PAISES,19.4849,48.7075
704,Vietnam,PAISES,105.8025,10.0964
705,Eslovenia,PAISES,14.8217,46.1196
706,Somalia,PAISES,46.2049,4.4065
710,Sudáfrica,PAISES,24.6696,-29.9992
716,Zimbabwe,PAISES,29.8688,-19.0003
724,España,PAISES,-3.5543,40.3901
728,Sudán del Sur,PAISES,30.3262,7.2908
729,El Sudán,PAISES,29.9579,16.0196
732,Sahara Occidental,PAISES,-13.1349,24.6633
740,Suriname,PAISES,-55.9068,4.1328
744,Svalbard y Jan Mayen,PAISES,13.3787,78.8253
748,Swazilandia,PAISES,31.5015,-26.5647
752,Suecia,PAISES,16.7483,62.7758
